CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),cluster_group
1,Male,19,15,39,8
2,Male,21,15,81,8
3,Female,20,16,6,8
4,Female,23,16,77,8
5,Female,31,17,40,8
6,Female,22,17,76,8
7,Female,35,18,6,8
8,Female,23,18,94,8
9,Male,64,19,3,8
10,Female,30,19,72,8
11,Male,67,19,14,8
12,Female,35,19,99,8
13,Female,58,20,15,8
14,Female,24,20,77,8
15,Male,37,20,13,8
16,Male,22,20,79,8
17,Female,35,21,35,8
18,Male,20,21,66,8
19,Male,52,23,29,8
20,Female,35,23,98,8
21,Male,35,24,35,8
22,Male,25,24,73,8
23,Female,46,25,5,8
24,Male,31,25,73,8
25,Female,54,28,14,8
26,Male,29,28,82,8
27,Female,45,28,32,8
28,Male,35,28,61,8
29,Female,40,29,31,8
30,Female,23,29,87,8
31,Male,60,30,4,8
32,Female,21,30,73,8
33,Male,53,33,4,8
34,Male,18,33,92,8
35,Female,49,33,14,8
36,Female,21,33,81,8
37,Female,42,34,17,8
38,Female,30,34,73,8
39,Female,36,37,26,8
40,Female,20,37,75,8
41,Female,65,38,35,8
42,Male,24,38,92,8
43,Male,48,39,36,8
44,Female,31,39,61,8
45,Female,49,39,28,8
46,Female,24,39,65,8
47,Female,50,40,55,8
48,Female,27,40,47,8
49,Female,29,40,42,8
50,Female,31,40,42,8
51,Female,49,42,52,8
52,Male,33,42,60,8
53,Female,31,43,54,8
54,Male,59,43,60,8
55,Female,50,43,45,8
56,Male,47,43,41,8
57,Female,51,44,50,8
58,Male,69,44,46,8
59,Female,27,46,51,8
60,Male,53,46,46,8
61,Male,70,46,56,8
62,Male,19,46,55,8
63,Female,67,47,52,8
64,Female,54,47,59,8
65,Male,63,48,51,8
66,Male,18,48,59,8
67,Female,43,48,50,8
68,Female,68,48,48,8
69,Male,19,48,59,8
70,Female,32,48,47,8
71,Male,70,49,55,8
72,Female,47,49,42,8
73,Female,60,50,49,8
74,Female,60,50,56,8
75,Male,59,54,47,8
76,Male,26,54,54,8
77,Female,45,54,53,8
78,Male,40,54,48,8
79,Female,23,54,52,8
80,Female,49,54,42,8
81,Male,57,54,51,8
82,Male,38,54,55,8
83,Male,67,54,41,8
84,Female,46,54,44,8
85,Female,21,54,57,8
86,Male,48,54,46,8
87,Female,55,57,58,8
88,Female,22,57,55,8
89,Female,34,58,60,8
90,Female,50,58,46,8
91,Female,68,59,55,8
92,Male,18,59,41,8
93,Male,48,60,49,8
94,Female,40,60,40,8
95,Female,32,60,42,8
96,Male,24,60,52,8
97,Female,47,60,47,8
98,Female,27,60,50,8
99,Male,48,61,42,8
100,Male,20,61,49,8
101,Female,23,62,41,8
102,Female,49,62,48,8
103,Male,67,62,59,8
104,Male,26,62,55,8
105,Male,49,62,56,8
106,Female,21,62,42,8
107,Female,66,63,50,8
108,Male,54,63,46,8
109,Male,68,63,43,8
110,Male,66,63,48,8
111,Male,65,63,52,8
112,Female,19,63,54,8
113,Female,38,64,42,8
114,Male,19,64,46,8
115,Female,18,65,48,8
116,Female,19,65,50,8
117,Female,63,65,43,8
118,Female,49,65,59,8
119,Female,51,67,43,8
120,Female,50,67,57,8
121,Male,27,67,56,8
122,Female,38,67,40,8
123,Female,40,69,58,8
124,Male,39,69,91,8
125,Female,23,70,29,8
126,Female,31,70,77,8
127,Male,43,71,35,8
128,Male,40,71,95,8
129,Male,59,71,11,8
130,Male,38,71,75,8
131,Male,47,71,9,8
132,Male,39,71,75,8
133,Female,25,72,34,8
134,Female,31,72,71,8
135,Male,20,73,5,8
136,Female,29,73,88,8
137,Female,44,73,7,8
138,Male,32,73,73,8
139,Male,19,74,10,8
140,Female,35,74,72,8
141,Female,57,75,5,8
142,Male,32,75,93,8
143,Female,28,76,40,8
144,Female,32,76,87,8
145,Male,25,77,12,8
146,Male,28,77,97,8
147,Male,48,77,36,8
148,Female,32,77,74,8
149,Female,34,78,22,8
150,Male,34,78,90,8
151,Male,43,78,17,8
152,Male,39,78,88,8
153,Female,44,78,20,8
154,Female,38,78,76,8
155,Female,47,78,16,8
156,Female,27,78,89,8
157,Male,37,78,1,8
158,Female,30,78,78,8
159,Male,34,78,1,8
160,Female,30,78,73,8
161,Female,56,79,35,8
162,Female,29,79,83,8
163,Male,19,81,5,8
164,Female,31,81,93,8
165,Male,50,85,26,8
166,Female,36,85,75,8
167,Male,42,86,20,8
168,Female,33,86,95,8
169,Female,36,87,27,8
170,Male,32,87,63,8
171,Male,40,87,13,8
172,Male,28,87,75,8
173,Male,36,87,10,8
174,Male,36,87,92,8
175,Female,52,88,13,8
176,Female,30,88,86,8
177,Male,58,88,15,8
178,Male,27,88,69,8
179,Male,59,93,14,8
180,Male,35,93,90,8
181,Female,37,97,32,8
182,Female,32,97,86,8
183,Male,46,98,15,8
184,Female,29,98,88,8
185,Female,41,99,39,8
186,Male,30,99,97,8
187,Female,54,101,24,8
188,Male,28,101,68,8
189,Female,41,103,17,8
190,Female,36,103,85,8
191,Female,34,103,23,8
192,Female,32,103,69,8
193,Male,33,113,8,0
194,Female,38,113,91,8
195,Female,47,120,16,0
196,Female,35,120,79,8
197,Female,45,126,28,3
198,Male,32,126,74,8
199,Male,32,137,18,1
200,Male,30,137,83,2
